TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
FF;1175;14_19;0
HF-F;1175;14_19;23
HF-H;1175;14_19;1
HH;1175;14_19;0
FF;1177;14_19;0
HF-F;1177;14_19;19
HF-H;1177;14_19;5
HH;1177;14_19;0
FF;1178;14_19;0
HF-F;1178;14_19;14
HF-H;1178;14_19;3
HH;1178;14_19;0
FF;1191;14_19;0
HF-F;1191;14_19;17
HF-H;1191;14_19;2
HH;1191;14_19;0
FF;1192;14_19;0
HF-F;1192;14_19;13
HF-H;1192;14_19;1
HH;1192;14_19;0
FF;1193;14_19;0
HF-F;1193;14_19;36
HF-H;1193;14_19;1
HH;1193;14_19;0
FF;1194;14_19;0
HF-F;1194;14_19;24
HF-H;1194;14_19;0
HH;1194;14_19;1
FF;1195;14_19;0
HF-F;1195;14_19;23
HF-H;1195;14_19;2
HH;1195;14_19;0
FF;2418;14_19;0
HF-F;2418;14_19;1
HF-H;2418;14_19;1
HH;2418;14_19;0
FF;2428;14_19;0
HF-F;2428;14_19;5
HF-H;2428;14_19;1
HH;2428;14_19;0
FF;2436;14_19;0
HF-F;2436;14_19;3
HF-H;2436;14_19;2
HH;2436;14_19;0
FF;2437;14_19;0
HF-F;2437;14_19;2
HF-H;2437;14_19;1
HH;2437;14_19;0
FF;2441;14_19;0
HF-F;2441;14_19;3
HF-H;2441;14_19;0
HH;2441;14_19;0
FF;2445;14_19;0
HF-F;2445;14_19;8
HF-H;2445;14_19;4
HH;2445;14_19;0
FF;2721;14_19;0
HF-F;2721;14_19;10
HF-H;2721;14_19;4
HH;2721;14_19;0
FF;2725;14_19;0
HF-F;2725;14_19;8
HF-H;2725;14_19;1
HH;2725;14_19;0
FF;2739;14_19;0
HF-F;2739;14_19;2
HF-H;2739;14_19;0
HH;2739;14_19;0
FF;2758;14_19;0
HF-F;2758;14_19;0
HF-H;2758;14_19;1
HH;2758;14_19;0
FF;2770;14_19;0
HF-F;2770;14_19;4
HF-H;2770;14_19;1
HH;2770;14_19;0
FF;2771;14_19;0
HF-F;2771;14_19;6
HF-H;2771;14_19;1
HH;2771;14_19;0
FF;2789;14_19;0
HF-F;2789;14_19;2
HF-H;2789;14_19;0
HH;2789;14_19;0
FF;2790;14_19;0
HF-F;2790;14_19;5
HF-H;2790;14_19;1
HH;2790;14_19;0
FF;2814;14_19;0
HF-F;2814;14_19;7
HF-H;2814;14_19;5
HH;2814;14_19;0
FF;2827;14_19;0
HF-F;2827;14_19;7
HF-H;2827;14_19;1
HH;2827;14_19;0
FF;2850;14_19;0
HF-F;2850;14_19;1
HF-H;2850;14_19;0
HH;2850;14_19;0
FF;2861;14_19;0
HF-F;2861;14_19;1
HF-H;2861;14_19;0
HH;2861;14_19;0
FF;2876;14_19;0
HF-F;2876;14_19;16
HF-H;2876;14_19;1
HH;2876;14_19;0
FF;3202;14_19;0
HF-F;3202;14_19;8
HF-H;3202;14_19;2
HH;3202;14_19;0
FF;3259;14_19;2
HF-F;3259;14_19;37
HF-H;3259;14_19;7
HH;3259;14_19;0
FF;3260;14_19;1
HF-F;3260;14_19;9
HF-H;3260;14_19;1
HH;3260;14_19;0
FF;3262;14_19;0
HF-F;3262;14_19;8
HF-H;3262;14_19;2
HH;3262;14_19;0
FF;3280;14_19;0
HF-F;3280;14_19;10
HF-H;3280;14_19;1
HH;3280;14_19;0
FF;4408;14_19;0
HF-F;4408;14_19;2
HF-H;4408;14_19;1
HH;4408;14_19;0
FF;4410;14_19;0
HF-F;4410;14_19;4
HF-H;4410;14_19;1
HH;4410;14_19;0
FF;4451;14_19;0
HF-F;4451;14_19;7
HF-H;4451;14_19;0
HH;4451;14_19;0
FF;4452;14_19;0
HF-F;4452;14_19;0
HF-H;4452;14_19;0
HH;4452;14_19;0
FF;4454;14_19;0
HF-F;4454;14_19;9
HF-H;4454;14_19;0
HH;4454;14_19;0
FF;4455;14_19;0
HF-F;4455;14_19;0
HF-H;4455;14_19;0
HH;4455;14_19;0
FF;4457;14_19;0
HF-F;4457;14_19;16
HF-H;4457;14_19;2
HH;4457;14_19;0
FF;4467;14_19;0
HF-F;4467;14_19;25
HF-H;4467;14_19;2
HH;4467;14_19;0
FF;4468;14_19;0
HF-F;4468;14_19;18
HF-H;4468;14_19;2
HH;4468;14_19;0
FF;4488;14_19;0
HF-F;4488;14_19;5
HF-H;4488;14_19;2
HH;4488;14_19;0
FF;5244;14_19;0
HF-F;5244;14_19;15
HF-H;5244;14_19;0
HH;5244;14_19;0
FF;5249;14_19;0
HF-F;5249;14_19;5
HF-H;5249;14_19;0
HH;5249;14_19;0
FF;5253;14_19;0
HF-F;5253;14_19;1
HF-H;5253;14_19;0
HH;5253;14_19;0
FF;5272;14_19;1
HF-F;5272;14_19;4
HF-H;5272;14_19;1
HH;5272;14_19;0
FF;5285;14_19;0
HF-F;5285;14_19;2
HF-H;5285;14_19;0
HH;5285;14_19;0
FF;5322;14_19;0
HF-F;5322;14_19;6
HF-H;5322;14_19;1
HH;5322;14_19;0
FF;5329;14_19;0
HF-F;5329;14_19;8
HF-H;5329;14_19;1
HH;5329;14_19;0
FF;5335;14_19;0
HF-F;5335;14_19;5
HF-H;5335;14_19;2
HH;5335;14_19;0
FF;5356;14_19;0
HF-F;5356;14_19;1
HF-H;5356;14_19;0
HH;5356;14_19;0
FF;7516;14_19;0
HF-F;7516;14_19;2
HF-H;7516;14_19;0
HH;7516;14_19;0
FF;7517;14_19;0
HF-F;7517;14_19;1
HF-H;7517;14_19;0
HH;7517;14_19;0
FF;7519;14_19;0
HF-F;7519;14_19;2
HF-H;7519;14_19;1
HH;7519;14_19;0
FF;7523;14_19;0
HF-F;7523;14_19;1
HF-H;7523;14_19;0
HH;7523;14_19;0
FF;7524;14_19;0
HF-F;7524;14_19;2
HF-H;7524;14_19;0
HH;7524;14_19;0
FF;7533;14_19;1
HF-F;7533;14_19;17
HF-H;7533;14_19;4
HH;7533;14_19;0
FF;7540;14_19;0
HF-F;7540;14_19;1
HF-H;7540;14_19;0
HH;7540;14_19;0
FF;7547;14_19;0
HF-F;7547;14_19;4
HF-H;7547;14_19;0
HH;7547;14_19;0
FF;7564;14_19;0
HF-F;7564;14_19;4
HF-H;7564;14_19;0
HH;7564;14_19;0
FF;7579;14_19;0
HF-F;7579;14_19;1
HF-H;7579;14_19;0
HH;7579;14_19;0
FF;7586;14_19;0
HF-F;7586;14_19;2
HF-H;7586;14_19;1
HH;7586;14_19;0
FF;7587;14_19;0
HF-F;7587;14_19;1
HF-H;7587;14_19;3
HH;7587;14_19;0
FF;7609;14_19;0
HF-F;7609;14_19;2
HF-H;7609;14_19;0
HH;7609;14_19;0
FF;7611;14_19;0
HF-F;7611;14_19;2
HF-H;7611;14_19;1
HH;7611;14_19;0
FF;7612;14_19;0
HF-F;7612;14_19;0
HF-H;7612;14_19;0
HH;7612;14_19;0
FF;7630;14_19;0
HF-F;7630;14_19;20
HF-H;7630;14_19;2
HH;7630;14_19;0
FF;7631;14_19;0
HF-F;7631;14_19;21
HF-H;7631;14_19;1
HH;7631;14_19;0
FF;7632;14_19;0
HF-F;7632;14_19;1
HF-H;7632;14_19;0
HH;7632;14_19;0
FF;7634;14_19;0
HF-F;7634;14_19;27
HF-H;7634;14_19;3
HH;7634;14_19;0
FF;7646;14_19;0
HF-F;7646;14_19;1
HF-H;7646;14_19;1
HH;7646;14_19;0
FF;7648;14_19;0
HF-F;7648;14_19;1
HF-H;7648;14_19;1
HH;7648;14_19;0
FF;7665;14_19;0
HF-F;7665;14_19;1
HF-H;7665;14_19;0
HH;7665;14_19;0
FF;7666;14_19;0
HF-F;7666;14_19;10
HF-H;7666;14_19;1
HH;7666;14_19;0
FF;7681;14_19;0
HF-F;7681;14_19;3
HF-H;7681;14_19;2
HH;7681;14_19;0
FF;7682;14_19;0
HF-F;7682;14_19;3
HF-H;7682;14_19;0
HH;7682;14_19;0
FF;8401;14_19;0
HF-F;8401;14_19;17
HF-H;8401;14_19;4
HH;8401;14_19;0
FF;8403;14_19;0
HF-F;8403;14_19;6
HF-H;8403;14_19;0
HH;8403;14_19;0
FF;8407;14_19;0
HF-F;8407;14_19;1
HF-H;8407;14_19;0
HH;8407;14_19;0
FF;8415;14_19;0
HF-F;8415;14_19;0
HF-H;8415;14_19;0
HH;8415;14_19;0
FF;8426;14_19;0
HF-F;8426;14_19;9
HF-H;8426;14_19;1
HH;8426;14_19;0
FF;8438;14_19;0
HF-F;8438;14_19;11
HF-H;8438;14_19;4
HH;8438;14_19;0
FF;8442;14_19;0
HF-F;8442;14_19;23
HF-H;8442;14_19;4
HH;8442;14_19;0
FF;8443;14_19;0
HF-F;8443;14_19;0
HF-H;8443;14_19;0
HH;8443;14_19;0
FF;8463;14_19;0
HF-F;8463;14_19;12
HF-H;8463;14_19;0
HH;8463;14_19;0
FF;8469;14_19;0
HF-F;8469;14_19;36
HF-H;8469;14_19;5
HH;8469;14_19;0
FF;8473;14_19;0
HF-F;8473;14_19;9
HF-H;8473;14_19;1
HH;8473;14_19;0
FF;8474;14_19;0
HF-F;8474;14_19;13
HF-H;8474;14_19;1
HH;8474;14_19;0
FF;9304;14_19;0
HF-F;9304;14_19;1
HF-H;9304;14_19;0
HH;9304;14_19;0
FF;9305;14_19;0
HF-F;9305;14_19;0
HF-H;9305;14_19;0
HH;9305;14_19;0
FF;9306;14_19;0
HF-F;9306;14_19;15
HF-H;9306;14_19;6
HH;9306;14_19;0
FF;9313;14_19;0
HF-F;9313;14_19;34
HF-H;9313;14_19;5
HH;9313;14_19;0
FF;9383;14_19;0
HF-F;9383;14_19;6
HF-H;9383;14_19;3
HH;9383;14_19;0
FF;9384;14_19;0
HF-F;9384;14_19;15
HF-H;9384;14_19;5
HH;9384;14_19;0
FF;942A;14_19;0
HF-F;942A;14_19;2
HF-H;942A;14_19;0
HH;942A;14_19;0
FF;942B;14_19;0
HF-F;942B;14_19;0
HF-H;942B;14_19;0
HH;942B;14_19;0
FF;971;14_19;0
HF-F;971;14_19;2
HF-H;971;14_19;0
HH;971;14_19;0
FF;972;14_19;0
HF-F;972;14_19;1
HF-H;972;14_19;0
HH;972;14_19;0
FF;973;14_19;0
HF-F;973;14_19;8
HF-H;973;14_19;0
HH;973;14_19;0
FF;974;14_19;0
HF-F;974;14_19;14
HF-H;974;14_19;2
HH;974;14_19;0
FF;976;14_19;0
HF-F;976;14_19;7
HF-H;976;14_19;0
HH;976;14_19;0
FF;1175;20_24;3
HF-F;1175;20_24;448
HF-H;1175;20_24;190
HH;1175;20_24;12
FF;1177;20_24;9
HF-F;1177;20_24;395
HF-H;1177;20_24;206
HH;1177;20_24;1
FF;1178;20_24;3
HF-F;1178;20_24;413
HF-H;1178;20_24;190
HH;1178;20_24;2
FF;1191;20_24;2
HF-F;1191;20_24;420
HF-H;1191;20_24;188
HH;1191;20_24;1
FF;1192;20_24;2
HF-F;1192;20_24;408
HF-H;1192;20_24;176
HH;1192;20_24;3
FF;1193;20_24;2
HF-F;1193;20_24;794
HF-H;1193;20_24;339
HH;1193;20_24;1
FF;1194;20_24;8
HF-F;1194;20_24;469
HF-H;1194;20_24;213
HH;1194;20_24;4
FF;1195;20_24;0
HF-F;1195;20_24;572
HF-H;1195;20_24;276
HH;1195;20_24;0
FF;2418;20_24;0
HF-F;2418;20_24;60
HF-H;2418;20_24;33
HH;2418;20_24;1
FF;2428;20_24;0
HF-F;2428;20_24;90
HF-H;2428;20_24;54
HH;2428;20_24;0
FF;2436;20_24;2
HF-F;2436;20_24;35
HF-H;2436;20_24;22
HH;2436;20_24;0
FF;2437;20_24;2
HF-F;2437;20_24;123
HF-H;2437;20_24;52
HH;2437;20_24;2
FF;2441;20_24;2
HF-F;2441;20_24;72
HF-H;2441;20_24;33
HH;2441;20_24;0
FF;2445;20_24;2
HF-F;2445;20_24;216
HF-H;2445;20_24;121
HH;2445;20_24;0
FF;2721;20_24;0
HF-F;2721;20_24;100
HF-H;2721;20_24;53
HH;2721;20_24;0
FF;2725;20_24;4
HF-F;2725;20_24;161
HF-H;2725;20_24;90
HH;2725;20_24;1
FF;2739;20_24;0
HF-F;2739;20_24;62
HF-H;2739;20_24;37
HH;2739;20_24;0
FF;2758;20_24;0
HF-F;2758;20_24;27
HF-H;2758;20_24;10
HH;2758;20_24;0
FF;2770;20_24;1
HF-F;2770;20_24;39
HF-H;2770;20_24;22
HH;2770;20_24;1
